      Step     Time          Energy         fmax
BFGS:    0 11:12:10     -308.569185        0.6144
BFGS:    1 13:51:29     -308.561284        1.6565
BFGS:    2 16:37:00     -308.572525        0.1573
BFGS:    3 17:36:42     -308.574061        0.1254
BFGS:    4 19:27:44     -308.581743        0.5412
BFGS:    5 20:58:41     -308.587397        0.5251
BFGS:    6 22:57:54     -308.594401        0.3040
BFGS:    7 00:08:37     -308.598081        0.2314
BFGS:    8 01:26:36     -308.604102        0.2350
BFGS:    9 02:31:42     -308.605757        0.2061
BFGS:   10 03:44:38     -308.607714        0.1063
BFGS:   11 04:58:25     -308.610158        0.1446
BFGS:   12 05:50:29     -308.611083        0.1386
BFGS:   13 07:33:20     -308.613006        0.0928
BFGS:   14 08:56:49     -308.613916        0.0934
BFGS:   15 10:42:37     -308.616114        0.1761
BFGS:   16 12:35:34     -308.617933        0.3389
BFGS:   17 13:51:18     -308.619303        0.1696
BFGS:   18 15:10:03     -308.620777        0.1342
BFGS:   19 16:36:57     -308.621783        0.1396
BFGS:   20 18:30:12     -308.624383        0.0766
BFGS:   21 20:13:27     -308.623406        0.2871
BFGS:   22 21:50:55     -308.625222        0.0719
BFGS:   23 23:21:50     -308.625107        0.0590
BFGS:   24 00:31:24     -308.625622        0.0523
BFGS:   25 02:06:41     -308.625472        0.1523
BFGS:   26 03:15:31     -308.626167        0.0644
BFGS:   27 05:12:18     -308.625414        0.2521
BFGS:   28 06:37:20     -308.626512        0.1112
BFGS:   29 08:26:46     -308.626143        0.2142
BFGS:   30 09:51:06     -308.627128        0.0740
BFGS:   31 11:39:23     -308.626118        0.2160
BFGS:   32 13:06:59     -308.627200        0.0797
BFGS:   33 15:00:48     -308.626643        0.1949
BFGS:   34 16:34:50     -308.627818        0.0575
BFGS:   35 17:56:17     -308.627530        0.0899
BFGS:   36 18:56:45     -308.628001        0.0660
BFGS:   37 20:35:40     -308.627824        0.2474
BFGS:   38 21:59:28     -308.628426        0.0589
BFGS:   39 23:02:43     -308.628671        0.0894
BFGS:   40 00:57:33     -308.628107        0.3261
BFGS:   41 02:30:12     -308.629493        0.1692
BFGS:   42 03:41:10     -308.630243        0.0575
BFGS:   43 05:37:03     -308.629749        0.6170
BFGS:   44 07:38:05     -308.630858        0.4370
BFGS:   45 08:44:02     -308.632133        0.0639
BFGS:   46 09:33:35     -308.632428        0.0919
BFGS:   47 10:26:58     -308.632788        0.0799
BFGS:   48 11:19:05     -308.632980        0.0505
BFGS:   49 12:14:04     -308.633197        0.0423
