      Step     Time          Energy         fmax
BFGS:    0 10:25:01     -308.583866        0.7498
BFGS:    1 12:59:24     -308.571527        1.9950
BFGS:    2 16:02:19     -308.587670        0.1591
BFGS:    3 16:59:55     -308.589030        0.1274
BFGS:    4 18:50:29     -308.596226        0.5411
BFGS:    5 20:11:38     -308.601349        0.4933
BFGS:    6 21:49:52     -308.607511        0.3157
BFGS:    7 23:03:41     -308.611102        0.2439
BFGS:    8 00:11:53     -308.616985        0.3123
BFGS:    9 01:04:55     -308.618454        0.2222
BFGS:   10 02:24:01     -308.621591        0.1240
BFGS:   11 03:15:57     -308.622522        0.1107
BFGS:   12 04:18:30     -308.623970        0.0695
BFGS:   13 05:10:12     -308.624653        0.0742
BFGS:   14 06:26:19     -308.627811        0.1347
BFGS:   15 07:29:48     -308.629054        0.1483
BFGS:   16 08:55:16     -308.631526        0.1788
BFGS:   17 10:00:35     -308.632350        0.0720
BFGS:   18 11:33:12     -308.634053        0.1652
BFGS:   19 13:00:18     -308.635698        0.2116
BFGS:   20 14:42:16     -308.635506        0.2821
BFGS:   21 15:56:16     -308.636311        0.1585
BFGS:   22 17:02:03     -308.637092        0.0952
BFGS:   23 18:02:44     -308.637616        0.2370
BFGS:   24 18:57:24     -308.638071        0.1554
BFGS:   25 19:40:32     -308.638429        0.0715
BFGS:   26 20:45:27     -308.638870        0.0920
BFGS:   27 21:38:56     -308.639005        0.0915
BFGS:   28 22:36:41     -308.639209        0.0395
