      Step     Time          Energy         fmax
BFGS:    0 09:48:22     -306.629504        5.2006
BFGS:    1 12:25:33     -306.939400        5.7142
BFGS:    2 14:20:44     -307.237755        2.8942
BFGS:    3 16:22:38     -307.527332        2.6150
BFGS:    4 18:17:20     -307.739914        1.9776
BFGS:    5 20:21:22     -307.910272        1.5276
BFGS:    6 22:25:09     -308.046857        1.1660
BFGS:    7 00:23:05     -308.160373        0.9150
BFGS:    8 02:12:54     -308.255894        0.7611
BFGS:    9 03:58:15     -308.336819        0.7712
BFGS:   10 05:44:37     -308.404903        0.6480
BFGS:   11 07:23:27     -308.464268        0.5499
BFGS:   12 09:05:51     -308.516452        0.5844
BFGS:   13 10:40:23     -308.561830        0.4865
BFGS:   14 12:15:51     -308.602865        0.4196
BFGS:   15 13:47:56     -308.638477        0.4232
BFGS:   16 15:27:41     -308.670135        0.3261
BFGS:   17 17:01:27     -308.699204        0.3593
BFGS:   18 18:37:57     -308.725019        0.2603
BFGS:   19 20:11:46     -308.746773        0.2751
BFGS:   20 21:38:14     -308.764339        0.2260
BFGS:   21 23:11:02     -308.777143        0.2036
BFGS:   22 00:37:26     -308.785002        0.1770
BFGS:   23 01:42:24     -308.787224        0.1680
BFGS:   24 02:56:22     -308.794784        0.1735
BFGS:   25 04:20:14     -308.800175        0.2607
BFGS:   26 05:32:57     -308.805160        0.1974
BFGS:   27 06:40:40     -308.809041        0.1415
BFGS:   28 08:18:58     -308.811236        0.2978
BFGS:   29 09:34:05     -308.813317        0.1104
BFGS:   30 10:37:25     -308.814790        0.1199
BFGS:   31 12:01:18     -308.815558        0.1551
BFGS:   32 13:20:20     -308.817678        0.0717
BFGS:   33 14:08:34     -308.818317        0.0680
BFGS:   34 15:07:59     -308.820132        0.0669
BFGS:   35 16:34:39     -308.821325        0.0820
BFGS:   36 17:30:09     -308.822321        0.0905
BFGS:   37 18:37:59     -308.824337        0.1413
BFGS:   38 19:43:22     -308.825465        0.1343
BFGS:   39 21:15:40     -308.827241        0.0842
BFGS:   40 22:16:02     -308.828271        0.0864
BFGS:   41 23:11:50     -308.829486        0.1174
BFGS:   42 00:17:59     -308.830402        0.0978
BFGS:   43 01:33:34     -308.831507        0.0956
BFGS:   44 02:18:40     -308.831950        0.0521
BFGS:   45 03:21:58     -308.832282        0.0422
