      Step     Time          Energy         fmax
BFGS:    0 13:13:56     -306.645001        3.4628
BFGS:    1 16:07:49     -306.962433        3.8233
BFGS:    2 19:06:31     -307.251210        2.5362
BFGS:    3 21:31:47     -307.489038        2.3076
BFGS:    4 00:01:18     -307.675509        1.7825
BFGS:    5 02:30:44     -307.828468        1.4680
BFGS:    6 04:46:41     -307.954795        1.1939
BFGS:    7 06:52:02     -308.059375        0.9470
BFGS:    8 08:58:48     -308.147339        0.8029
BFGS:    9 10:47:47     -308.220467        0.6240
BFGS:   10 12:38:00     -308.282673        0.5166
BFGS:   11 14:21:02     -308.333744        0.4524
BFGS:   12 16:15:25     -308.378174        0.4040
BFGS:   13 18:01:28     -308.414577        0.3685
BFGS:   14 19:37:07     -308.446061        0.3228
BFGS:   15 21:19:23     -308.471485        0.2738
BFGS:   16 22:56:10     -308.490629        0.2308
BFGS:   17 00:21:56     -308.506325        0.1965
BFGS:   18 01:51:04     -308.518628        0.1648
BFGS:   19 03:16:08     -308.528402        0.1264
BFGS:   20 04:39:43     -308.533582        0.1172
BFGS:   21 05:54:56     -308.537794        0.1050
BFGS:   22 07:19:19     -308.538859        0.1095
BFGS:   23 08:05:42     -308.540170        0.1233
BFGS:   24 09:30:32     -308.548903        0.1558
BFGS:   25 10:51:40     -308.550732        0.1357
BFGS:   26 12:05:54     -308.552604        0.1330
BFGS:   27 13:09:05     -308.555309        0.1950
BFGS:   28 14:38:15     -308.558549        0.1788
BFGS:   29 15:47:13     -308.560541        0.1122
BFGS:   30 17:00:39     -308.562348        0.1048
BFGS:   31 18:36:58     -308.563071        0.1936
BFGS:   32 19:42:47     -308.565249        0.1278
BFGS:   33 20:50:48     -308.569166        0.1013
BFGS:   34 22:14:19     -308.571235        0.1637
BFGS:   35 23:17:30     -308.573913        0.1197
BFGS:   36 00:45:55     -308.577575        0.0938
BFGS:   37 02:32:51     -308.583044        0.1266
BFGS:   38 04:07:47     -308.585450        0.2379
BFGS:   39 05:42:58     -308.587967        0.1772
BFGS:   40 07:12:43     -308.591070        0.1534
BFGS:   41 08:51:40     -308.592893        0.1072
BFGS:   42 10:00:38     -308.594951        0.1594
BFGS:   43 11:37:16     -308.597656        0.1232
BFGS:   44 12:40:50     -308.599690        0.1221
BFGS:   45 14:23:41     -308.603501        0.1593
BFGS:   46 15:33:16     -308.606362        0.1183
BFGS:   47 16:58:39     -308.611575        0.1635
BFGS:   48 18:25:32     -308.614531        0.2192
BFGS:   49 19:21:11     -308.617070        0.1549
BFGS:   50 20:49:01     -308.624531        0.1590
BFGS:   51 22:18:25     -308.628999        0.1372
BFGS:   52 23:36:08     -308.632508        0.1104
BFGS:   53 01:05:15     -308.636818        0.1065
BFGS:   54 02:34:10     -308.640040        0.2484
BFGS:   55 03:59:25     -308.642407        0.3012
BFGS:   56 04:34:51     -308.645554        0.2249
BFGS:   57 05:10:21     -308.650783        0.1118
BFGS:   58 05:45:43     -308.655309        0.1422
BFGS:   59 06:17:35     -308.658479        0.3325
BFGS:   60 06:54:51     -308.661151        0.4349
BFGS:   61 07:30:17     -308.664124        0.4419
BFGS:   62 08:06:37     -308.665921        0.3044
BFGS:   63 09:47:38     -308.669954        0.1396
BFGS:   64 11:55:13     -308.672033        0.2194
BFGS:   65 13:10:31     -308.673843        0.1135
BFGS:   66 15:17:43     -308.675859        0.0945
BFGS:   67 17:05:24     -308.676361        0.1144
BFGS:   68 18:16:08     -308.678225        0.0944
BFGS:   69 19:37:34     -308.679336        0.0667
BFGS:   70 20:59:39     -308.680348        0.0833
BFGS:   71 23:05:33     -308.683354        0.1276
BFGS:   72 00:56:39     -308.686483        0.1124
BFGS:   73 03:05:00     -308.689559        0.1497
BFGS:   74 04:31:44     -308.692152        0.1170
BFGS:   75 06:23:22     -308.693223        0.1662
BFGS:   76 07:52:36     -308.694111        0.1770
BFGS:   77 09:16:17     -308.696505        0.3453
BFGS:   78 10:52:54     -308.697954        0.2386
BFGS:   79 12:28:43     -308.699614        0.1068
BFGS:   80 14:04:38     -308.699495        0.2391
BFGS:   81 15:18:46     -308.701424        0.1666
BFGS:   82 16:21:20     -308.702680        0.0906
BFGS:   83 17:42:20     -308.704724        0.1303
BFGS:   84 19:26:04     -308.707344        0.1531
BFGS:   85 21:22:30     -308.709143        0.1766
BFGS:   86 23:25:37     -308.711857        0.2146
BFGS:   87 01:02:54     -308.715658        0.2420
BFGS:   88 01:49:12     -308.718260        0.3594
BFGS:   89 02:33:34     -308.718937        0.4906
BFGS:   90 03:18:49     -308.723328        0.2938
BFGS:   91 03:56:00     -308.727813        0.4684
BFGS:   92 04:43:12     -308.732651        0.4819
BFGS:   93 05:27:35     -308.736108        0.3729
BFGS:   94 06:22:12     -308.740313        0.2825
BFGS:   95 07:50:17     -308.746622        0.2219
BFGS:   96 09:11:32     -308.749912        0.1795
BFGS:   97 10:25:53     -308.752547        0.3806
BFGS:   98 11:33:49     -308.755942        0.3961
BFGS:   99 12:43:53     -308.759623        0.3942
BFGS:  100 14:14:13     -308.762886        0.4155
BFGS:  101 15:35:15     -308.765971        0.1648
BFGS:  102 16:57:27     -308.769419        0.2224
BFGS:  103 18:09:15     -308.771617        0.1369
BFGS:  104 19:20:15     -308.773306        0.1326
BFGS:  105 20:36:41     -308.776256        0.1731
BFGS:  106 22:03:39     -308.777931        0.2717
BFGS:  107 23:13:50     -308.779926        0.2000
BFGS:  108 00:13:12     -308.782367        0.1343
BFGS:  109 01:32:37     -308.784550        0.2191
BFGS:  110 02:33:42     -308.786687        0.1220
BFGS:  111 03:47:30     -308.789164        0.0940
BFGS:  112 04:55:38     -308.790233        0.1360
BFGS:  113 05:47:55     -308.791342        0.1363
BFGS:  114 07:05:12     -308.794230        0.1292
