      Step     Time          Energy         fmax
BFGS:    0 12:59:33     -306.664877        3.5059
BFGS:    1 16:09:54     -306.979065        3.8836
BFGS:    2 18:59:25     -307.269089        2.6232
BFGS:    3 21:33:45     -307.508116        2.3784
BFGS:    4 23:59:13     -307.695538        1.8454
BFGS:    5 02:17:57     -307.849422        1.5223
BFGS:    6 04:36:52     -307.976677        1.2526
BFGS:    7 06:47:50     -308.082253        0.9972
BFGS:    8 08:54:24     -308.171249        0.8651
BFGS:    9 10:51:04     -308.245213        0.6910
BFGS:   10 12:49:15     -308.308575        0.5760
BFGS:   11 14:43:44     -308.360686        0.4864
BFGS:   12 16:23:13     -308.406622        0.4106
BFGS:   13 18:02:25     -308.444262        0.3737
BFGS:   14 19:52:10     -308.477512        0.3381
BFGS:   15 21:39:50     -308.504602        0.2952
BFGS:   16 23:24:41     -308.525979        0.2530
BFGS:   17 00:56:51     -308.544280        0.2160
BFGS:   18 02:24:25     -308.558594        0.1809
BFGS:   19 03:55:02     -308.570194        0.1519
BFGS:   20 05:34:21     -308.578192        0.1191
BFGS:   21 07:00:51     -308.583330        0.1016
BFGS:   22 08:26:57     -308.587010        0.1008
BFGS:   23 09:57:12     -308.588625        0.1461
BFGS:   24 10:44:47     -308.589839        0.1237
BFGS:   25 12:11:26     -308.595591        0.0963
BFGS:   26 13:25:15     -308.597952        0.0917
BFGS:   27 14:51:38     -308.599719        0.1503
BFGS:   28 15:48:59     -308.600901        0.0932
BFGS:   29 16:51:37     -308.602852        0.2109
BFGS:   30 18:00:08     -308.604134        0.1293
BFGS:   31 19:15:44     -308.605300        0.0914
BFGS:   32 20:02:50     -308.605959        0.0845
BFGS:   33 21:19:38     -308.607102        0.2372
BFGS:   34 22:29:59     -308.608042        0.0763
BFGS:   35 23:24:50     -308.608917        0.0816
BFGS:   36 01:04:34     -308.609007        0.3734
BFGS:   37 02:16:30     -308.611322        0.1982
BFGS:   38 03:38:19     -308.612684        0.0660
BFGS:   39 04:49:20     -308.613632        0.0705
BFGS:   40 06:27:51     -308.615233        0.0999
BFGS:   41 07:35:52     -308.615729        0.1106
BFGS:   42 08:30:20     -308.616323        0.0992
BFGS:   43 09:40:56     -308.617274        0.0568
BFGS:   44 10:30:53     -308.617676        0.0564
BFGS:   45 11:26:00     -308.618458        0.0611
BFGS:   46 12:28:43     -308.619199        0.0743
BFGS:   47 13:51:56     -308.620073        0.1338
BFGS:   48 14:49:47     -308.620614        0.0614
BFGS:   49 15:45:00     -308.621128        0.0632
BFGS:   50 16:55:11     -308.621743        0.1445
BFGS:   51 17:52:18     -308.622207        0.1559
BFGS:   52 19:11:56     -308.623042        0.0587
BFGS:   53 19:58:55     -308.623322        0.0492
