      Step     Time          Energy         fmax
BFGS:    0 22:45:04     -306.451443        3.5538
BFGS:    1 01:51:27     -306.713892        2.8190
BFGS:    2 04:54:56     -306.897120        2.1723
BFGS:    3 07:33:48     -307.027627        1.2590
BFGS:    4 09:20:34     -307.112187        1.1264
BFGS:    5 11:11:17     -307.181413        1.0982
BFGS:    6 12:47:14     -307.246456        1.0729
BFGS:    7 14:29:07     -307.307245        1.0431
BFGS:    8 16:02:15     -307.361929        0.9948
BFGS:    9 17:51:56     -307.411018        0.9554
BFGS:   10 19:56:36     -307.456527        0.9102
BFGS:   11 21:46:08     -307.499332        0.8261
BFGS:   12 23:48:15     -307.535891        0.8046
BFGS:   13 01:46:55     -307.570820        0.7922
BFGS:   14 03:33:26     -307.603787        0.7150
BFGS:   15 05:05:08     -307.633960        0.6422
BFGS:   16 06:39:27     -307.663161        0.6571
BFGS:   17 08:15:06     -307.690031        0.6435
BFGS:   18 10:00:25     -307.715111        0.6162
BFGS:   19 11:40:28     -307.739590        0.5780
BFGS:   20 13:24:27     -307.762057        0.5089
BFGS:   21 14:53:35     -307.782366        0.5052
BFGS:   22 16:32:35     -307.804077        0.5146
BFGS:   23 18:01:08     -307.824306        0.5197
BFGS:   24 19:39:59     -307.844434        0.5189
BFGS:   25 21:11:11     -307.865401        0.5125
BFGS:   26 22:42:22     -307.885042        0.4979
BFGS:   27 00:13:06     -307.902432        0.4949
BFGS:   28 00:49:58     -307.920550        0.4912
BFGS:   29 01:22:39     -307.936650        0.4774
BFGS:   30 01:51:45     -307.955077        0.4724
BFGS:   31 02:22:37     -307.970231        0.4665
BFGS:   32 02:54:30     -307.986856        0.4377
BFGS:   33 03:22:40     -308.007907        0.3986
BFGS:   34 03:54:30     -308.031330        0.3088
BFGS:   35 04:20:01     -308.048320        0.3490
BFGS:   36 04:55:22     -308.066716        0.3600
BFGS:   37 05:28:08     -308.082035        0.4635
BFGS:   38 05:59:03     -308.095010        0.5262
BFGS:   39 06:31:46     -308.112699        0.5563
BFGS:   40 07:09:10     -308.134702        0.4932
BFGS:   41 07:46:20     -308.157484        0.4071
BFGS:   42 08:26:37     -308.179210        0.4583
BFGS:   43 09:59:15     -308.196169        0.5297
BFGS:   44 11:29:21     -308.210210        0.5817
BFGS:   45 12:57:58     -308.225873        0.5848
BFGS:   46 14:21:45     -308.242076        0.5733
BFGS:   47 15:56:20     -308.256313        0.5331
BFGS:   48 17:26:27     -308.272605        0.4550
BFGS:   49 18:50:12     -308.286845        0.3783
BFGS:   50 20:13:49     -308.298891        0.2894
BFGS:   51 21:43:14     -308.309104        0.2309
BFGS:   52 23:04:00     -308.317522        0.2234
BFGS:   53 00:27:49     -308.327044        0.2552
BFGS:   54 01:53:39     -308.333466        0.2518
BFGS:   55 03:37:13     -308.343026        0.2773
BFGS:   56 05:04:42     -308.349967        0.3297
BFGS:   57 06:27:54     -308.358029        0.3849
BFGS:   58 07:47:52     -308.364370        0.4086
BFGS:   59 09:08:57     -308.370919        0.4294
BFGS:   60 10:31:50     -308.376828        0.4500
BFGS:   61 11:53:49     -308.385480        0.3845
BFGS:   62 13:17:03     -308.392491        0.3653
BFGS:   63 14:43:42     -308.401078        0.3530
BFGS:   64 16:06:29     -308.406976        0.4016
BFGS:   65 17:41:09     -308.417056        0.3972
BFGS:   66 19:14:42     -308.423634        0.3562
BFGS:   67 21:00:35     -308.433223        0.3123
BFGS:   68 22:35:14     -308.439425        0.3095
BFGS:   69 23:53:59     -308.443653        0.2838
BFGS:   70 00:29:09     -308.451217        0.3003
BFGS:   71 00:58:15     -308.455986        0.3193
BFGS:   72 01:34:29     -308.468777        0.4230
BFGS:   73 02:09:08     -308.476946        0.4852
BFGS:   74 02:40:05     -308.488909        0.3503
BFGS:   75 03:15:32     -308.497072        0.4472
BFGS:   76 03:47:19     -308.511416        0.3081
BFGS:   77 04:21:54     -308.522086        0.3099
BFGS:   78 04:56:26     -308.538662        0.4263
BFGS:   79 05:32:52     -308.558754        0.5722
BFGS:   80 06:09:03     -308.574432        0.6120
BFGS:   81 07:57:03     -308.599944        0.7588
BFGS:   82 09:35:25     -308.620877        0.9057
BFGS:   83 11:14:48     -308.644375        0.9287
BFGS:   84 12:51:26     -308.662400        0.9509
BFGS:   85 14:22:34     -308.677688        0.9738
BFGS:   86 15:48:09     -308.695764        0.8972
BFGS:   87 17:13:06     -308.716394        0.7312
BFGS:   88 19:03:01     -308.749052        0.6545
BFGS:   89 20:34:54     -308.773561        0.5762
BFGS:   90 22:00:56     -308.795637        0.4828
BFGS:   91 23:23:44     -308.806272        0.3079
BFGS:   92 00:47:30     -308.813099        0.2515
BFGS:   93 02:20:07     -308.819422        0.4084
BFGS:   94 03:39:31     -308.826634        0.3142
