      Step     Time          Energy         fmax
BFGS:    0 16:27:05     -219.196721        0.5004
BFGS:    1 17:19:57     -219.201332        0.4252
BFGS:    2 18:44:10     -219.214289        0.2098
BFGS:    3 19:47:29     -219.216480        0.2125
BFGS:    4 21:15:24     -219.222076        0.1831
BFGS:    5 23:02:42     -219.227968        0.2841
BFGS:    6 00:44:21     -219.235758        0.3671
BFGS:    7 02:40:34     -219.247128        0.4757
BFGS:    8 04:29:43     -219.259008        0.5477
BFGS:    9 06:23:28     -219.271047        0.5963
BFGS:   10 08:11:11     -219.283010        0.6354
BFGS:   11 09:59:49     -219.296497        0.6733
BFGS:   12 11:44:58     -219.310703        0.6819
BFGS:   13 13:28:06     -219.325077        0.6965
BFGS:   14 15:13:34     -219.340121        0.7038
BFGS:   15 16:56:05     -219.354558        0.6924
BFGS:   16 18:40:51     -219.368819        0.6960
BFGS:   17 20:26:38     -219.381609        0.6634
BFGS:   18 22:10:13     -219.394710        0.6367
BFGS:   19 23:49:10     -219.408360        0.6162
BFGS:   20 01:26:32     -219.431420        0.5805
BFGS:   21 02:58:00     -219.464552        0.5565
BFGS:   22 04:43:46     -219.483004        0.4455
BFGS:   23 06:24:12     -219.495831        0.2961
BFGS:   24 07:50:37     -219.507374        0.4352
BFGS:   25 09:19:55     -219.521837        0.5787
BFGS:   26 10:53:42     -219.540522        0.6223
BFGS:   27 12:23:06     -219.560493        0.5689
BFGS:   28 13:49:47     -219.580902        0.4140
BFGS:   29 15:21:10     -219.593806        0.2210
BFGS:   30 16:39:41     -219.598381        0.1885
BFGS:   31 17:56:02     -219.601620        0.1956
BFGS:   32 19:28:53     -219.611459        0.2985
BFGS:   33 21:06:15     -219.621979        0.3836
BFGS:   34 22:39:06     -219.632879        0.4039
BFGS:   35 00:06:49     -219.643659        0.4569
BFGS:   36 01:40:27     -219.655962        0.4534
BFGS:   37 03:11:51     -219.667687        0.4734
BFGS:   38 04:42:29     -219.679645        0.4665
BFGS:   39 06:16:45     -219.691478        0.4693
BFGS:   40 07:47:25     -219.702611        0.4600
BFGS:   41 09:15:14     -219.713953        0.4424
BFGS:   42 10:40:13     -219.723560        0.4338
BFGS:   43 11:39:15     -219.734966        0.3924
BFGS:   44 12:13:15     -219.744008        0.3606
BFGS:   45 13:02:23     -219.752421        0.3085
BFGS:   46 14:24:11     -219.759142        0.2694
BFGS:   47 15:50:44     -219.765296        0.2380
BFGS:   48 17:12:56     -219.771678        0.3027
BFGS:   49 18:41:15     -219.776844        0.3570
BFGS:   50 20:07:50     -219.785082        0.3672
BFGS:   51 20:47:32     -219.791510        0.3831
BFGS:   52 21:13:53     -219.799944        0.3746
BFGS:   53 21:42:23     -219.808296        0.3623
BFGS:   54 22:08:49     -219.815611        0.3866
BFGS:   55 22:36:44     -219.824511        0.3999
BFGS:   56 23:05:19     -219.831786        0.4165
BFGS:   57 23:33:52     -219.840642        0.4270
BFGS:   58 00:03:52     -219.848152        0.4425
BFGS:   59 00:33:07     -219.856931        0.4555
BFGS:   60 01:03:48     -219.864315        0.4739
BFGS:   61 01:33:45     -219.873392        0.4709
BFGS:   62 02:02:12     -219.881133        0.4883
BFGS:   63 02:32:05     -219.889998        0.4913
BFGS:   64 02:59:49     -219.897601        0.5059
BFGS:   65 03:29:03     -219.906624        0.5080
BFGS:   66 03:56:49     -219.914341        0.5063
BFGS:   67 04:47:19     -219.923791        0.5054
BFGS:   68 06:18:40     -219.931600        0.4894
BFGS:   69 07:50:40     -219.941303        0.4810
BFGS:   70 09:27:15     -219.950991        0.4389
BFGS:   71 10:56:12     -219.964304        0.3977
BFGS:   72 12:30:01     -219.976342        0.4564
BFGS:   73 14:01:52     -219.993413        0.5635
BFGS:   74 15:42:56     -220.007767        0.5153
BFGS:   75 17:24:26     -220.021515        0.4113
BFGS:   76 19:05:12     -220.034375        0.3285
BFGS:   77 20:56:17     -220.045728        0.2658
BFGS:   78 22:10:04     -220.054422        0.2399
BFGS:   79 23:28:49     -220.061955        0.3403
BFGS:   80 00:55:59     -220.071485        0.3918
BFGS:   81 02:29:38     -220.080652        0.3522
BFGS:   82 04:02:24     -220.090107        0.2595
BFGS:   83 05:38:19     -220.099499        0.2982
BFGS:   84 07:29:32     -220.108218        0.2937
BFGS:   85 09:19:20     -220.116626        0.2458
BFGS:   86 11:08:12     -220.124837        0.2611
BFGS:   87 12:28:03     -220.129331        0.2424
BFGS:   88 13:56:36     -220.137611        0.1960
BFGS:   89 15:24:54     -220.145206        0.2334
BFGS:   90 16:55:00     -220.151007        0.2456
BFGS:   91 18:24:41     -220.157397        0.2419
BFGS:   92 19:47:40     -220.162328        0.2236
BFGS:   93 21:08:05     -220.167260        0.1682
BFGS:   94 22:33:51     -220.171046        0.1520
BFGS:   95 23:53:04     -220.176373        0.1842
BFGS:   96 01:27:18     -220.182103        0.2045
BFGS:   97 03:02:46     -220.187732        0.2527
BFGS:   98 04:30:46     -220.195378        0.2783
BFGS:   99 06:10:32     -220.204007        0.2889
BFGS:  100 07:45:30     -220.212214        0.2848
BFGS:  101 09:37:37     -220.224797        0.2490
BFGS:  102 11:19:51     -220.234301        0.2362
BFGS:  103 13:03:48     -220.243905        0.2473
BFGS:  104 14:40:43     -220.253441        0.2574
BFGS:  105 16:10:02     -220.263132        0.2524
BFGS:  106 17:42:44     -220.275064        0.3156
BFGS:  107 19:08:00     -220.289352        0.4033
BFGS:  108 20:45:50     -220.306123        0.4879
BFGS:  109 22:15:29     -220.326604        0.5288
BFGS:  110 23:47:55     -220.346695        0.5297
