      Step     Time          Energy         fmax
BFGS:    0 02:28:07     -272.380996        0.4164
BFGS:    1 03:14:11     -272.385480        0.2625
BFGS:    2 05:00:02     -272.390704        0.2448
BFGS:    3 06:52:05     -272.401606        0.4608
BFGS:    4 09:00:07     -272.409972        0.3991
BFGS:    5 11:05:30     -272.416520        0.2439
BFGS:    6 12:43:52     -272.422590        0.2395
BFGS:    7 14:22:39     -272.429289        0.3313
BFGS:    8 15:41:48     -272.435158        0.3447
BFGS:    9 17:19:07     -272.438916        0.1924
BFGS:   10 19:08:05     -272.441383        0.1635
BFGS:   11 21:00:11     -272.443548        0.1611
BFGS:   12 22:21:19     -272.445937        0.1785
BFGS:   13 23:51:24     -272.448560        0.1559
BFGS:   14 01:54:31     -272.451246        0.1574
BFGS:   15 04:17:14     -272.454415        0.2019
BFGS:   16 06:35:03     -272.457209        0.1556
BFGS:   17 09:55:02     -272.459650        0.1406
BFGS:   18 12:53:42     -272.461757        0.1302
BFGS:   19 15:05:19     -272.463789        0.1730
BFGS:   20 17:11:33     -272.465823        0.1788
BFGS:   21 19:47:07     -272.466852        0.1171
BFGS:   22 21:29:29     -272.468001        0.0916
BFGS:   23 23:20:03     -272.468804        0.0559
BFGS:   24 01:31:27     -272.469560        0.0865
BFGS:   25 03:01:38     -272.470480        0.0927
BFGS:   26 04:44:59     -272.471539        0.1057
BFGS:   27 06:51:59     -272.472907        0.1211
BFGS:   28 08:47:19     -272.475038        0.1326
BFGS:   29 10:20:55     -272.476688        0.1678
BFGS:   30 11:46:08     -272.478351        0.1441
BFGS:   31 13:23:04     -272.479796        0.0946
BFGS:   32 14:48:37     -272.480800        0.0933
BFGS:   33 15:59:03     -272.482956        0.1435
BFGS:   34 16:50:43     -272.485281        0.1451
BFGS:   35 18:38:30     -272.486323        0.1388
BFGS:   36 20:18:51     -272.487645        0.1002
BFGS:   37 22:18:13     -272.489519        0.1376
BFGS:   38 23:36:14     -272.490542        0.1313
BFGS:   39 01:10:31     -272.492498        0.1066
BFGS:   40 02:29:20     -272.494864        0.1404
BFGS:   41 03:59:26     -272.496595        0.1629
BFGS:   42 05:46:40     -272.498731        0.1531
BFGS:   43 06:54:45     -272.500781        0.1584
BFGS:   44 08:18:28     -272.502718        0.1528
BFGS:   45 10:01:25     -272.504764        0.1482
BFGS:   46 11:52:40     -272.507109        0.1557
BFGS:   47 14:21:48     -272.509159        0.1623
BFGS:   48 15:41:46     -272.511867        0.1385
BFGS:   49 17:08:29     -272.515905        0.1172
BFGS:   50 18:42:40     -272.518910        0.1212
BFGS:   51 20:04:48     -272.521458        0.1412
BFGS:   52 22:22:21     -272.523008        0.1770
BFGS:   53 00:47:06     -272.526218        0.1407
BFGS:   54 02:39:04     -272.528108        0.1527
BFGS:   55 04:42:38     -272.530513        0.1365
BFGS:   56 07:49:14     -272.533111        0.1308
BFGS:   57 10:47:18     -272.534751        0.1269
BFGS:   58 12:51:04     -272.537837        0.1168
BFGS:   59 15:11:01     -272.540157        0.1101
BFGS:   60 17:03:22     -272.541773        0.0831
BFGS:   61 18:32:54     -272.543677        0.0801
BFGS:   62 20:05:19     -272.544991        0.0884
BFGS:   63 22:08:14     -272.546295        0.0902
BFGS:   64 00:43:39     -272.547845        0.0958
BFGS:   65 03:08:27     -272.548905        0.1144
BFGS:   66 05:02:54     -272.550265        0.0972
BFGS:   67 06:19:38     -272.551526        0.0833
BFGS:   68 07:51:45     -272.553236        0.0698
BFGS:   69 09:07:29     -272.554112        0.0585
BFGS:   70 11:10:14     -272.555245        0.0595
BFGS:   71 12:42:26     -272.556546        0.1165
BFGS:   72 15:34:23     -272.558346        0.1218
BFGS:   73 18:23:48     -272.558796        0.2250
BFGS:   74 20:40:51     -272.561531        0.2692
BFGS:   75 22:03:34     -272.563952        0.0960
BFGS:   76 23:16:31     -272.565281        0.0802
BFGS:   77 00:46:57     -272.567350        0.1365
BFGS:   78 02:33:52     -272.569198        0.1328
BFGS:   79 04:59:10     -272.571683        0.1201
BFGS:   80 07:27:08     -272.574377        0.0968
BFGS:   81 10:16:40     -272.576706        0.1196
BFGS:   82 13:40:20     -272.578038        0.1516
BFGS:   83 16:51:24     -272.579618        0.1798
BFGS:   84 19:40:51     -272.582479        0.2163
BFGS:   85 22:26:12     -272.587172        0.1883
BFGS:   86 00:52:51     -272.589299        0.3018
      Step     Time          Energy         fmax
BFGS:    0 07:28:50     -272.589300        0.3019
BFGS:    1 10:59:02     -272.597252        0.1733
BFGS:    2 14:06:38     -272.602875        0.3292
BFGS:    3 17:59:00     -272.608681        0.3850
BFGS:    4 21:31:18     -272.615673        0.2330
BFGS:    5 00:05:34     -272.621050        0.1765
BFGS:    6 01:42:56     -272.624554        0.2322
BFGS:    7 02:59:38     -272.631080        0.2982
BFGS:    8 04:31:52     -272.639901        0.3567
BFGS:    9 06:03:04     -272.648320        0.3567
BFGS:   10 08:34:23     -272.659534        0.4090
BFGS:   11 10:33:32     -272.673163        0.3296
BFGS:   12 12:27:33     -272.683850        0.3493
BFGS:   13 14:17:06     -272.696201        0.3250
BFGS:   14 16:10:59     -272.705388        0.3203
BFGS:   15 18:11:23     -272.714377        0.3475
BFGS:   16 20:16:44     -272.728408        0.3085
BFGS:   17 22:10:42     -272.742896        0.2788
BFGS:   18 00:28:54     -272.755869        0.2558
BFGS:   19 03:08:52     -272.765036        0.2235
BFGS:   20 05:29:42     -272.768417        0.2186
BFGS:   21 07:32:32     -272.771195        0.2035
BFGS:   22 09:55:51     -272.774826        0.2013
BFGS:   23 12:01:20     -272.777982        0.1662
BFGS:   24 13:35:31     -272.781799        0.1424
BFGS:   25 15:38:10     -272.785969        0.2033
BFGS:   26 17:40:20     -272.791475        0.1921
BFGS:   27 19:12:57     -272.796158        0.2440
BFGS:   28 20:35:21     -272.800724        0.1840
BFGS:   29 22:40:19     -272.803969        0.1505
BFGS:   30 23:49:04     -272.806383        0.1362
BFGS:   31 01:21:26     -272.808420        0.1542
BFGS:   32 03:13:14     -272.810026        0.1486
BFGS:   33 04:43:00     -272.812660        0.1328
BFGS:   34 06:44:56     -272.815692        0.1456
BFGS:   35 09:21:07     -272.819005        0.1908
BFGS:   36 11:51:37     -272.821492        0.1289
BFGS:   37 13:24:35     -272.823138        0.1250
BFGS:   38 15:10:39     -272.825501        0.1070
BFGS:   39 16:23:45     -272.826388        0.1107
