      Step     Time          Energy         fmax
BFGS:    0 02:27:37     -272.478838        0.2922
BFGS:    1 02:41:09     -272.481929        0.1632
BFGS:    2 03:03:30     -272.485316        0.1714
BFGS:    3 03:41:31     -272.495529        0.4157
BFGS:    4 04:55:00     -272.505028        0.4518
BFGS:    5 07:11:13     -272.514937        0.2828
BFGS:    6 09:48:24     -272.520578        0.2701
BFGS:    7 13:02:58     -272.528926        0.3013
BFGS:    8 15:57:53     -272.536811        0.4019
BFGS:    9 18:52:26     -272.547218        0.3244
BFGS:   10 21:25:12     -272.553335        0.1981
BFGS:   11 00:05:19     -272.560935        0.3094
BFGS:   12 01:55:00     -272.569604        0.4392
BFGS:   13 03:44:39     -272.578410        0.5287
BFGS:   14 07:03:37     -272.591618        0.5972
BFGS:   15 10:15:50     -272.604152        0.6539
BFGS:   16 13:20:13     -272.617099        0.7022
BFGS:   17 16:53:02     -272.630961        0.7430
BFGS:   18 20:34:30     -272.647199        0.7635
BFGS:   19 22:54:15     -272.663037        0.7644
BFGS:   20 01:32:00     -272.681382        0.7470
BFGS:   21 04:28:27     -272.702581        0.6908
BFGS:   22 07:26:31     -272.726355        0.5909
BFGS:   23 11:04:40     -272.748574        0.5276
BFGS:   24 13:24:52     -272.763657        0.4266
BFGS:   25 16:10:13     -272.777382        0.3435
BFGS:   26 18:43:38     -272.786508        0.4522
BFGS:   27 20:39:25     -272.791789        0.2499
BFGS:   28 22:23:15     -272.795009        0.0955
BFGS:   29 23:54:59     -272.797659        0.1477
BFGS:   30 02:25:28     -272.802573        0.2851
BFGS:   31 04:33:42     -272.807293        0.3125
BFGS:   32 06:57:35     -272.812371        0.2268
BFGS:   33 08:54:09     -272.818404        0.2009
BFGS:   34 11:51:07     -272.823757        0.2707
BFGS:   35 14:39:27     -272.828735        0.2696
BFGS:   36 16:41:22     -272.832221        0.1667
BFGS:   37 18:18:31     -272.835763        0.1248
BFGS:   38 20:08:54     -272.837745        0.1591
BFGS:   39 22:33:57     -272.841246        0.2223
BFGS:   40 00:28:39     -272.845108        0.2666
BFGS:   41 01:57:45     -272.850274        0.2184
BFGS:   42 03:20:18     -272.855487        0.2340
BFGS:   43 05:07:31     -272.860599        0.2486
BFGS:   44 06:31:34     -272.864696        0.2289
BFGS:   45 07:58:44     -272.867268        0.1454
BFGS:   46 09:12:59     -272.869169        0.1016
BFGS:   47 10:46:24     -272.872443        0.2281
BFGS:   48 12:57:15     -272.874931        0.2960
BFGS:   49 15:08:20     -272.878086        0.3195
BFGS:   50 17:01:11     -272.880792        0.3205
BFGS:   51 18:33:25     -272.886432        0.2108
BFGS:   52 20:09:39     -272.890062        0.1659
BFGS:   53 21:28:52     -272.892838        0.1550
BFGS:   54 22:59:52     -272.896850        0.1558
BFGS:   55 00:41:16     -272.899800        0.1576
BFGS:   56 02:59:37     -272.903324        0.1525
BFGS:   57 04:34:42     -272.905354        0.1396
BFGS:   58 06:04:16     -272.907122        0.1164
BFGS:   59 08:07:36     -272.909272        0.1438
BFGS:   60 09:03:47     -272.910938        0.1333
BFGS:   61 10:35:23     -272.913612        0.1543
BFGS:   62 12:16:26     -272.915825        0.1391
BFGS:   63 14:27:13     -272.917766        0.0922
BFGS:   64 16:09:54     -272.919336        0.0974
BFGS:   65 18:01:48     -272.921032        0.1393
BFGS:   66 19:46:00     -272.922883        0.1442
BFGS:   67 21:55:39     -272.925514        0.1388
BFGS:   68 00:03:11     -272.927669        0.1633
BFGS:   69 02:13:22     -272.929860        0.1611
BFGS:   70 04:10:34     -272.930991        0.1142
BFGS:   71 06:04:28     -272.932243        0.1033
BFGS:   72 07:34:18     -272.933528        0.0923
BFGS:   73 09:29:31     -272.934103        0.1444
BFGS:   74 10:56:07     -272.934693        0.1236
BFGS:   75 12:42:20     -272.935643        0.0634
BFGS:   76 14:27:07     -272.936212        0.0430
