      Step     Time          Energy         fmax
BFGS:    0 08:25:50     -272.478838        0.2922
BFGS:    1 09:21:08     -272.481929        0.1632
BFGS:    2 10:40:55     -272.485317        0.1716
BFGS:    3 13:10:32     -272.495509        0.4149
BFGS:    4 15:31:57     -272.505034        0.4517
BFGS:    5 18:47:37     -272.514921        0.2827
BFGS:    6 20:52:06     -272.520575        0.2702
BFGS:    7 22:53:57     -272.528909        0.3004
BFGS:    8 01:17:38     -272.536790        0.4019
BFGS:    9 03:29:50     -272.547188        0.3255
BFGS:   10 05:04:31     -272.553327        0.1981
BFGS:   11 07:23:24     -272.560918        0.3090
BFGS:   12 09:13:54     -272.569577        0.4387
BFGS:   13 10:37:00     -272.578388        0.5283
BFGS:   14 12:15:46     -272.591579        0.5967
BFGS:   15 13:41:45     -272.604114        0.6530
BFGS:   16 15:03:36     -272.617055        0.7014
BFGS:   17 16:37:00     -272.630912        0.7422
BFGS:   18 18:11:06     -272.647146        0.7628
BFGS:   19 20:07:48     -272.662985        0.7640
BFGS:   20 22:19:02     -272.681323        0.7469
BFGS:   21 00:15:12     -272.702498        0.6913
BFGS:   22 01:59:28     -272.726231        0.5926
BFGS:   23 04:03:11     -272.748550        0.5273
BFGS:   24 06:01:46     -272.763617        0.4286
BFGS:   25 07:47:35     -272.777541        0.3421
BFGS:   26 10:09:11     -272.786330        0.4633
BFGS:   27 11:59:10     -272.791791        0.2492
BFGS:   28 12:49:42     -272.794930        0.0914
BFGS:   29 14:11:37     -272.797648        0.1459
BFGS:   30 15:48:38     -272.802421        0.2820
BFGS:   31 17:28:03     -272.807176        0.3135
BFGS:   32 19:49:46     -272.812241        0.2303
BFGS:   33 22:26:17     -272.818249        0.1980
BFGS:   34 01:02:34     -272.823648        0.2679
BFGS:   35 03:23:07     -272.828613        0.2728
BFGS:   36 05:38:31     -272.832129        0.1695
BFGS:   37 07:28:51     -272.835700        0.1257
BFGS:   38 08:58:54     -272.837678        0.1576
BFGS:   39 10:42:56     -272.841150        0.2190
BFGS:   40 12:42:42     -272.845048        0.2705
BFGS:   41 14:54:07     -272.849978        0.2234
BFGS:   42 17:44:07     -272.855335        0.2327
BFGS:   43 20:00:43     -272.860573        0.2480
BFGS:   44 21:32:19     -272.864593        0.2318
BFGS:   45 23:45:29     -272.867211        0.1463
BFGS:   46 01:18:12     -272.869110        0.1010
BFGS:   47 03:55:26     -272.872466        0.2278
BFGS:   48 06:38:49     -272.874700        0.3039
BFGS:   49 09:34:03     -272.877959        0.3232
BFGS:   50 11:57:07     -272.880643        0.3271
BFGS:   51 13:55:29     -272.886303        0.2119
BFGS:   52 16:15:22     -272.890060        0.1680
BFGS:   53 19:16:34     -272.892909        0.1568
BFGS:   54 22:33:53     -272.896927        0.1445
BFGS:   55 00:48:56     -272.899796        0.1571
BFGS:   56 03:40:54     -272.903339        0.1527
BFGS:   57 06:28:44     -272.905386        0.1370
BFGS:   58 07:40:34     -272.907121        0.1188
BFGS:   59 09:03:37     -272.909203        0.1436
BFGS:   60 10:24:23     -272.910881        0.1355
BFGS:   61 13:11:30     -272.913608        0.1531
BFGS:   62 15:14:58     -272.915819        0.1433
BFGS:   63 17:24:15     -272.917663        0.0966
BFGS:   64 19:29:08     -272.919248        0.0917
BFGS:   65 21:10:11     -272.920906        0.1358
BFGS:   66 22:11:41     -272.922777        0.1456
BFGS:   67 00:19:55     -272.925400        0.1430
BFGS:   68 01:41:57     -272.927620        0.1671
BFGS:   69 03:22:38     -272.929834        0.1684
BFGS:   70 04:37:17     -272.931029        0.1116
BFGS:   71 06:39:57     -272.932371        0.1089
BFGS:   72 08:23:03     -272.933587        0.1035
BFGS:   73 10:46:09     -272.934085        0.1255
BFGS:   74 12:13:53     -272.934848        0.1167
BFGS:   75 13:23:35     -272.935772        0.0594
BFGS:   76 14:46:08     -272.936331        0.0595
BFGS:   77 15:38:58     -272.936727        0.0403
