atom Hirshfeld Bader
Li       -0.01 -0.91
Li       -0.00  0.74
Li       -0.01  0.74
Li        0.00 -0.97
Li       -0.01 -1.69
Li       -0.01 -0.07
Li       -0.01 -1.66
Li       -0.01  0.74
Li       -0.01  0.74
Li       -0.07  0.73
Li       -0.07  0.73
Li       -0.07 -2.94
Li       -0.07  0.73
Li       -0.07  0.73
Li       -0.07  0.73
Li       -0.07 -0.12
Li       -0.07 -1.05
Li       -0.07  0.73
Li       -0.06  0.03
Li       -0.05  0.75
Li       -0.05  0.75
Li       -0.06  0.75
Li       -0.06  0.76
Li       -0.06  0.76
Li       -0.06  0.76
Li       -0.06  0.76
Li       -0.05  0.75
Li       -0.02 -1.77
Li       -0.01 -0.39
Li        0.06  0.80
Li       -0.03  0.72
Li       -0.01 -0.48
Li        0.00 -1.73
Li       -0.01 -0.55
Li       -0.02  0.73
Li       -0.01 -1.11
O         0.15 -1.24
C         0.23  0.34
C         0.10 -0.18
H         0.10  0.08
H         0.09  0.06
H         0.11  0.08
H         0.09  0.07
H         0.10  0.07
H         0.15  0.51
