atom Hirshfeld Bader
Li       -0.01  0.74
Li       -0.01 -0.90
Li       -0.01  0.74
Li       -0.01 -0.90
Li        0.00  0.75
Li       -0.01 -0.10
Li       -0.01  0.74
Li       -0.01 -1.67
Li       -0.01  0.74
Li       -0.07 -2.79
Li       -0.07  0.73
Li       -0.07  0.73
Li       -0.07 -0.06
Li       -0.07  0.73
Li       -0.07 -1.01
Li       -0.07 -0.10
Li       -0.07 -0.14
Li       -0.07 -0.14
Li       -0.05  0.75
Li       -0.06  0.76
Li       -0.05  0.75
Li       -0.06  0.76
Li       -0.06  0.75
Li       -0.06  0.76
Li       -0.06  0.75
Li       -0.06  0.76
Li       -0.05  0.75
Li        0.04  0.80
Li       -0.01 -1.17
Li       -0.03 -1.84
Li       -0.00 -1.04
Li       -0.01 -0.51
Li       -0.03  0.73
Li       -0.01 -1.87
Li       -0.02  0.73
Li       -0.01 -0.53
O         0.15 -1.24
C         0.23  0.31
C         0.10 -0.17
H         0.09  0.07
H         0.09  0.08
H         0.11  0.08
H         0.10  0.08
H         0.10  0.06
H         0.18  0.57
