      Step     Time          Energy         fmax
BFGS:    0 12:40:55     -289.507238       35.5491
BFGS:    1 15:13:19     -291.814576       22.8847
BFGS:    2 17:37:25     -293.266117       14.0351
BFGS:    3 19:53:18     -294.125114        7.9909
BFGS:    4 21:58:32     -294.585597        3.9138
BFGS:    5 00:16:30     -294.778286        1.3168
BFGS:    6 01:55:37     -294.810803        0.3684
BFGS:    7 03:13:15     -294.814451        0.0830
BFGS:    8 03:46:00     -294.814994        0.0817
BFGS:    9 04:03:58     -294.816003        0.1618
BFGS:   10 04:27:59     -294.818030        0.2601
BFGS:   11 04:58:25     -294.820802        0.3076
BFGS:   12 05:28:56     -294.823694        0.2363
BFGS:   13 05:55:45     -294.825471        0.0855
BFGS:   14 06:12:59     -294.825846        0.0663
BFGS:   15 06:27:16     -294.826283        0.1038
BFGS:   16 06:51:05     -294.827826        0.2144
BFGS:   17 07:23:36     -294.831888        0.2803
