      Step     Time          Energy         fmax
BFGS:    0 14:36:32     -289.575352       35.5366
BFGS:    1 16:37:07     -291.882180       22.8680
BFGS:    2 18:45:13     -293.331114       14.0112
BFGS:    3 20:41:08     -294.190776        7.9480
BFGS:    4 22:48:10     -294.646506        3.8515
BFGS:    5 00:42:13     -294.832233        1.2921
BFGS:    6 01:19:02     -294.862612        0.3489
BFGS:    7 01:34:05     -294.865741        0.0718
BFGS:    8 01:44:30     -294.866183        0.0723
BFGS:    9 01:56:28     -294.867053        0.1436
BFGS:   10 02:13:02     -294.868819        0.2352
BFGS:   11 02:34:10     -294.871697        0.2889
BFGS:   12 02:55:53     -294.874146        0.2263
BFGS:   13 03:12:56     -294.875449        0.0934
BFGS:   14 03:24:22     -294.875854        0.0398
