      Step     Time          Energy         fmax
BFGS:    0 04:04:18     -217.269145        2.6702
BFGS:    1 06:17:35     -217.363111        0.5952
BFGS:    2 07:20:36     -217.366260        0.2095
BFGS:    3 08:09:42     -217.366973        0.1134
BFGS:    4 09:14:14     -217.368870        0.2000
BFGS:    5 10:30:14     -217.372706        0.4119
BFGS:    6 12:17:59     -217.379885        0.7383
BFGS:    7 13:48:28     -217.387179        0.7385
BFGS:    8 15:15:05     -217.394405        0.5977
BFGS:    9 16:33:45     -217.398575        0.4023
BFGS:   10 17:26:13     -217.400591        0.2774
BFGS:   11 18:47:14     -217.405556        0.4102
BFGS:   12 19:33:27     -217.406816        0.5322
BFGS:   13 19:59:12     -217.411780        0.8477
BFGS:   14 20:17:55     -217.414991        1.1153
BFGS:   15 20:34:36     -217.421644        1.2428
BFGS:   16 20:54:50     -217.432214        1.3086
BFGS:   17 21:12:29     -217.442199        1.3429
BFGS:   18 21:31:07     -217.451946        1.3430
BFGS:   19 21:47:17     -217.461149        1.3213
BFGS:   20 22:03:54     -217.470177        1.2813
BFGS:   21 22:20:57     -217.477515        1.2030
BFGS:   22 22:39:01     -217.484809        0.9925
BFGS:   23 23:16:08     -217.492381        0.5528
BFGS:   24 00:14:07     -217.495694        0.1915
BFGS:   25 01:20:14     -217.496289        0.1645
BFGS:   26 02:34:53     -217.497809        0.1049
BFGS:   27 03:34:18     -217.499866        0.1499
BFGS:   28 04:57:08     -217.504406        0.2127
BFGS:   29 06:15:25     -217.509816        0.2187
BFGS:   30 07:29:38     -217.513562        0.1822
BFGS:   31 08:40:20     -217.515811        0.1929
BFGS:   32 09:56:26     -217.517136        0.1568
BFGS:   33 10:54:28     -217.518158        0.1313
BFGS:   34 11:55:08     -217.520422        0.1815
BFGS:   35 13:05:00     -217.526169        0.1391
BFGS:   36 14:12:47     -217.528671        0.1450
BFGS:   37 15:26:54     -217.530994        0.1332
BFGS:   38 16:48:13     -217.532901        0.1402
BFGS:   39 17:51:01     -217.534101        0.1087
BFGS:   40 18:48:40     -217.534635        0.1542
BFGS:   41 19:28:13     -217.535286        0.1389
BFGS:   42 20:26:56     -217.537954        0.0948
BFGS:   43 21:36:21     -217.542313        0.1034
BFGS:   44 22:39:21     -217.545424        0.1771
BFGS:   45 23:52:16     -217.549232        0.1068
BFGS:   46 00:58:10     -217.552337        0.1095
BFGS:   47 02:05:54     -217.554549        0.0646
BFGS:   48 03:09:51     -217.555731        0.0512
BFGS:   49 04:11:16     -217.556325        0.0844
BFGS:   50 05:16:03     -217.557904        0.1560
BFGS:   51 06:24:10     -217.558139        0.1446
BFGS:   52 07:20:07     -217.558801        0.1785
BFGS:   53 08:20:44     -217.559625        0.1804
BFGS:   54 09:30:47     -217.561539        0.1623
BFGS:   55 10:44:24     -217.563758        0.1101
BFGS:   56 11:50:43     -217.565423        0.0643
BFGS:   57 12:53:34     -217.566407        0.0628
BFGS:   58 13:38:25     -217.566761        0.0624
BFGS:   59 14:40:09     -217.567239        0.0690
BFGS:   60 15:17:11     -217.567394        0.0723
BFGS:   61 16:13:09     -217.567894        0.0718
BFGS:   62 17:19:48     -217.568616        0.0779
BFGS:   63 18:12:49     -217.569511        0.1280
BFGS:   64 19:14:09     -217.571472        0.2177
BFGS:   65 20:16:23     -217.572545        0.2098
BFGS:   66 21:40:33     -217.573968        0.2888
BFGS:   67 22:45:16     -217.574472        0.2032
BFGS:   68 23:33:59     -217.575080        0.1090
BFGS:   69 00:21:32     -217.575298        0.0698
BFGS:   70 01:12:39     -217.575519        0.1008
BFGS:   71 02:16:53     -217.575902        0.1108
BFGS:   72 03:03:45     -217.576256        0.1111
BFGS:   73 04:10:02     -217.577461        0.1011
BFGS:   74 05:15:41     -217.577890        0.0471
