      Step     Time          Energy         fmax
BFGS:    0 09:23:40     -323.273256        0.5301
BFGS:    1 11:17:53     -323.282501        0.1875
BFGS:    2 13:03:26     -323.286939        0.1779
BFGS:    3 15:38:54     -323.306194        0.4567
BFGS:    4 18:42:13     -323.317874        0.4225
BFGS:    5 21:41:53     -323.326096        0.2627
BFGS:    6 23:34:04     -323.332104        0.2338
BFGS:    7 01:48:13     -323.340128        0.3483
BFGS:    8 03:56:24     -323.347512        0.3718
BFGS:    9 06:07:35     -323.352824        0.2118
BFGS:   10 07:44:03     -323.355551        0.1272
BFGS:   11 09:59:42     -323.358626        0.1623
BFGS:   12 12:03:12     -323.361622        0.2328
BFGS:   13 13:38:55     -323.365157        0.1921
BFGS:   14 15:01:57     -323.368542        0.1417
BFGS:   15 16:10:54     -323.372725        0.1991
BFGS:   16 18:00:21     -323.376796        0.2189
BFGS:   17 19:39:04     -323.382090        0.2106
BFGS:   18 22:34:30     -323.386032        0.1416
BFGS:   19 00:08:38     -323.388287        0.1274
BFGS:   20 02:02:27     -323.390166        0.1363
BFGS:   21 03:42:33     -323.391236        0.1106
BFGS:   22 04:42:39     -323.392161        0.0702
BFGS:   23 05:45:27     -323.392920        0.0790
BFGS:   24 07:02:21     -323.394008        0.1309
BFGS:   25 08:29:03     -323.395251        0.1469
BFGS:   26 09:29:40     -323.396174        0.0934
BFGS:   27 10:31:27     -323.397328        0.1152
BFGS:   28 11:39:37     -323.398505        0.1258
BFGS:   29 13:06:23     -323.400360        0.1984
BFGS:   30 15:20:47     -323.402605        0.1879
BFGS:   31 16:55:45     -323.404839        0.1244
BFGS:   32 18:38:03     -323.406258        0.1471
BFGS:   33 20:35:45     -323.408036        0.1568
BFGS:   34 22:08:56     -323.409973        0.1699
