      Step     Time          Energy         fmax
BFGS:    0 06:47:54     -323.244209        0.4559
BFGS:    1 07:02:14     -323.251738        0.2828
BFGS:    2 07:17:12     -323.259159        0.2817
BFGS:    3 07:58:43     -323.280494        0.4484
BFGS:    4 08:52:54     -323.292551        0.4288
BFGS:    5 10:33:17     -323.303316        0.2907
BFGS:    6 11:47:23     -323.310201        0.2063
BFGS:    7 13:12:14     -323.317409        0.2369
BFGS:    8 15:39:58     -323.325059        0.1953
BFGS:    9 17:55:43     -323.328592        0.1250
BFGS:   10 20:13:59     -323.331579        0.1623
BFGS:   11 22:25:59     -323.334622        0.1541
BFGS:   12 00:08:56     -323.338082        0.1786
BFGS:   13 02:15:05     -323.341177        0.1493
BFGS:   14 04:03:25     -323.344070        0.1492
BFGS:   15 05:35:17     -323.347695        0.1763
BFGS:   16 06:34:32     -323.351813        0.1885
BFGS:   17 08:14:43     -323.355840        0.1753
BFGS:   18 10:11:17     -323.358062        0.1910
BFGS:   19 11:56:25     -323.359920        0.0981
BFGS:   20 13:37:26     -323.361149        0.0891
BFGS:   21 16:24:17     -323.362278        0.0974
BFGS:   22 18:35:04     -323.363505        0.1080
BFGS:   23 20:55:23     -323.364889        0.0846
BFGS:   24 23:16:30     -323.366677        0.1304
BFGS:   25 00:42:33     -323.368211        0.1227
BFGS:   26 02:30:54     -323.371470        0.1042
BFGS:   27 04:50:28     -323.373627        0.1598
BFGS:   28 06:23:34     -323.375704        0.2166
BFGS:   29 07:53:36     -323.380279        0.2418
BFGS:   30 09:20:59     -323.384167        0.1478
BFGS:   31 11:07:20     -323.386679        0.2322
BFGS:   32 13:01:32     -323.388097        0.4528
BFGS:   33 14:24:10     -323.392806        0.2862
BFGS:   34 16:19:39     -323.402839        0.2098
BFGS:   35 18:48:26     -323.409828        0.2192
BFGS:   36 21:46:02     -323.417561        0.2586
