      Step     Time          Energy         fmax
BFGS:    0 01:28:12     -323.001397        1.4342
BFGS:    1 03:58:57     -323.055296        1.0825
BFGS:    2 06:26:45     -323.109117        0.9294
BFGS:    3 08:38:04     -323.155791        0.9093
BFGS:    4 10:34:46     -323.199078        0.9753
BFGS:    5 12:23:37     -323.239786        0.9719
BFGS:    6 14:37:18     -323.277914        0.9133
BFGS:    7 16:48:39     -323.312623        0.8205
BFGS:    8 19:32:36     -323.343264        0.7170
BFGS:    9 21:35:19     -323.369300        0.5989
BFGS:   10 23:38:17     -323.390882        0.4674
BFGS:   11 01:04:03     -323.408249        0.3643
BFGS:   12 02:42:54     -323.422960        0.3069
BFGS:   13 05:02:26     -323.436945        0.3817
BFGS:   14 07:46:54     -323.451623        0.4575
BFGS:   15 09:34:48     -323.471085        0.5295
BFGS:   16 11:55:59     -323.492187        0.5369
BFGS:   17 14:52:36     -323.514402        0.4499
BFGS:   18 17:31:38     -323.537275        0.3776
BFGS:   19 19:00:27     -323.562014        0.2941
BFGS:   20 22:12:35     -323.576658        0.2126
BFGS:   21 00:55:56     -323.585487        0.2570
BFGS:   22 03:03:30     -323.592634        0.2678
BFGS:   23 05:37:02     -323.599596        0.2502
BFGS:   24 08:29:16     -323.608075        0.2760
BFGS:   25 11:04:15     -323.622107        0.3498
BFGS:   26 13:49:53     -323.638128        0.4298
BFGS:   27 15:54:27     -323.651207        0.4270
BFGS:   28 17:46:25     -323.662872        0.3740
