      Step     Time          Energy         fmax
BFGS:    0 16:26:46     -290.475487        0.8511
BFGS:    1 17:45:53     -290.492995        0.5900
BFGS:    2 20:00:36     -290.518966        0.4832
BFGS:    3 22:05:56     -290.540430        0.5794
BFGS:    4 00:12:01     -290.555913        0.3721
BFGS:    5 03:18:49     -290.570534        0.4551
BFGS:    6 06:09:28     -290.584246        0.5175
BFGS:    7 10:08:00     -290.597166        0.4259
BFGS:    8 13:22:35     -290.608542        0.3279
BFGS:    9 16:20:47     -290.614942        0.2137
BFGS:   10 19:35:11     -290.619995        0.2845
BFGS:   11 21:46:00     -290.627423        0.3747
BFGS:   12 23:11:20     -290.633338        0.3042
BFGS:   13 00:38:25     -290.639123        0.1940
BFGS:   14 01:57:43     -290.642617        0.1643
BFGS:   15 03:43:04     -290.646341        0.2356
BFGS:   16 05:38:18     -290.650574        0.2245
BFGS:   17 07:17:26     -290.654512        0.1960
BFGS:   18 08:45:36     -290.657233        0.1190
BFGS:   19 10:42:15     -290.659395        0.1924
BFGS:   20 12:16:37     -290.661566        0.2084
BFGS:   21 14:24:02     -290.664362        0.1618
BFGS:   22 15:54:14     -290.666955        0.1358
BFGS:   23 17:48:04     -290.668605        0.0995
BFGS:   24 19:40:11     -290.669832        0.0958
BFGS:   25 21:19:31     -290.670734        0.0940
BFGS:   26 22:53:30     -290.672452        0.1080
BFGS:   27 00:36:48     -290.673889        0.0937
BFGS:   28 03:29:16     -290.675778        0.1283
BFGS:   29 05:37:33     -290.677726        0.1485
BFGS:   30 07:41:51     -290.679539        0.1242
BFGS:   31 09:46:14     -290.682025        0.1036
BFGS:   32 11:04:26     -290.683644        0.1000
BFGS:   33 13:48:50     -290.685260        0.0928
BFGS:   34 16:47:25     -290.686953        0.1050
