      Step     Time          Energy         fmax
BFGS:    0 13:41:58     -290.697837        0.7165
BFGS:    1 14:33:20     -290.708747        0.3351
BFGS:    2 15:44:00     -290.722432        0.4002
BFGS:    3 18:59:47     -290.744693        0.7650
BFGS:    4 21:40:45     -290.768173        0.7752
BFGS:    5 00:01:02     -290.789341        0.4732
BFGS:    6 03:24:20     -290.808098        0.4672
BFGS:    7 05:33:30     -290.827497        0.5337
BFGS:    8 07:02:02     -290.847596        0.5609
BFGS:    9 10:12:59     -290.865742        0.5254
BFGS:   10 13:57:32     -290.882842        0.4031
BFGS:   11 17:17:07     -290.898624        0.3730
BFGS:   12 21:19:42     -290.916662        0.4949
BFGS:   13 02:04:48     -290.932398        0.5521
BFGS:   14 05:27:59     -290.951825        0.5719
BFGS:   15 07:37:30     -290.967473        0.5318
BFGS:   16 10:22:42     -290.987963        0.4365
BFGS:   17 13:01:14     -291.001970        0.2904
BFGS:   18 15:06:16     -291.015275        0.3368
BFGS:   19 17:15:05     -291.024047        0.3263
BFGS:   20 18:21:55     -291.032078        0.2542
BFGS:   21 18:54:45     -291.036324        0.1822
BFGS:   22 19:18:28     -291.039334        0.1855
BFGS:   23 19:31:52     -291.041891        0.2427
BFGS:   24 19:55:28     -291.044451        0.2145
BFGS:   25 20:27:13     -291.047168        0.1375
BFGS:   26 20:49:54     -291.050194        0.1507
BFGS:   27 21:28:45     -291.055112        0.2501
BFGS:   28 22:45:32     -291.060413        0.3504
BFGS:   29 00:19:01     -291.066053        0.3093
BFGS:   30 02:39:31     -291.074530        0.2025
BFGS:   31 05:03:04     -291.081923        0.2255
BFGS:   32 06:13:50     -291.087842        0.2108
BFGS:   33 07:44:11     -291.092630        0.1802
BFGS:   34 09:00:09     -291.096620        0.2071
BFGS:   35 10:06:31     -291.099847        0.1376
BFGS:   36 11:27:51     -291.105129        0.2443
BFGS:   37 13:05:23     -291.111579        0.3087
BFGS:   38 14:42:44     -291.119174        0.3072
BFGS:   39 16:30:30     -291.125776        0.3726
BFGS:   40 18:29:37     -291.132611        0.4027
BFGS:   41 20:56:48     -291.139223        0.4044
BFGS:   42 23:02:20     -291.148294        0.3524
BFGS:   43 00:42:16     -291.156305        0.3545
BFGS:   44 03:08:27     -291.163930        0.3754
BFGS:   45 04:35:52     -291.171347        0.4031
BFGS:   46 06:10:13     -291.184321        0.3538
BFGS:   47 07:41:26     -291.193674        0.3725
BFGS:   48 08:41:30     -291.202292        0.3886
BFGS:   49 09:53:02     -291.214072        0.3703
BFGS:   50 11:13:32     -291.226739        0.3839
BFGS:   51 12:43:20     -291.238532        0.3989
BFGS:   52 14:13:04     -291.254871        0.4300
BFGS:   53 15:42:06     -291.270590        0.4740
BFGS:   54 17:16:17     -291.285696        0.4334
BFGS:   55 18:36:38     -291.295313        0.2467
BFGS:   56 19:58:49     -291.301190        0.1977
BFGS:   57 21:35:45     -291.305250        0.2038
BFGS:   58 22:56:45     -291.309678        0.1904
BFGS:   59 00:27:04     -291.315240        0.1423
BFGS:   60 01:27:16     -291.318699        0.1634
BFGS:   61 03:12:40     -291.323892        0.1545
BFGS:   62 05:04:50     -291.328808        0.1576
BFGS:   63 07:26:50     -291.332404        0.1606
BFGS:   64 10:48:00     -291.335994        0.1369
BFGS:   65 13:37:31     -291.339526        0.1642
BFGS:   66 15:40:12     -291.342080        0.1776
BFGS:   67 17:30:43     -291.346433        0.1650
BFGS:   68 19:58:50     -291.351040        0.1785
BFGS:   69 20:16:06     -291.354399        0.1419
BFGS:   70 20:28:52     -291.357391        0.1751
BFGS:   71 20:44:14     -291.361095        0.1425
BFGS:   72 21:19:46     -291.363908        0.1193
BFGS:   73 22:05:03     -291.367638        0.1328
BFGS:   74 22:44:24     -291.370071        0.1165
BFGS:   75 01:02:11     -291.373138        0.1234
BFGS:   76 02:36:44     -291.374807        0.1062
BFGS:   77 04:08:23     -291.377449        0.1073
BFGS:   78 05:40:53     -291.379814        0.1474
BFGS:   79 06:49:51     -291.381926        0.1477
BFGS:   80 08:15:02     -291.385796        0.1626
BFGS:   81 09:46:42     -291.389156        0.1916
BFGS:   82 11:21:31     -291.393413        0.1986
BFGS:   83 12:30:15     -291.396131        0.2029
BFGS:   84 13:24:03     -291.400293        0.1707
BFGS:   85 14:20:31     -291.404192        0.1565
BFGS:   86 16:03:37     -291.406754        0.1389
BFGS:   87 17:08:17     -291.408458        0.1520
BFGS:   88 17:22:54     -291.410347        0.1075
BFGS:   89 18:05:14     -291.412706        0.1121
BFGS:   90 20:00:46     -291.414903        0.1164
BFGS:   91 00:12:49     -291.418656        0.1803
BFGS:   92 03:00:23     -291.420781        0.2123
BFGS:   93 04:54:02     -291.424127        0.1759
BFGS:   94 06:50:10     -291.427911        0.1904
BFGS:   95 09:18:23     -291.432576        0.1626
BFGS:   96 11:26:30     -291.436742        0.1446
BFGS:   97 12:01:39     -291.440497        0.1193
BFGS:   98 12:15:29     -291.443114        0.1229
BFGS:   99 12:28:29     -291.445900        0.1642
BFGS:  100 12:42:58     -291.447452        0.1400
BFGS:  101 12:56:43     -291.449390        0.1311
BFGS:  102 13:12:44     -291.451918        0.2345
BFGS:  103 13:24:41     -291.453775        0.0979
      Step     Time          Energy         fmax
BFGS:    0 16:41:36     -291.456170        0.1067
BFGS:    1 18:11:39     -291.457409        0.1043
BFGS:    2 20:12:45     -291.461650        0.1417
