      Step     Time          Energy         fmax
BFGS:    0 19:53:50     -290.619913        0.7862
BFGS:    1 21:14:47     -290.631175        0.3133
BFGS:    2 22:11:33     -290.641386        0.3594
BFGS:    3 23:40:39     -290.657814        0.5893
BFGS:    4 01:13:34     -290.672564        0.5526
BFGS:    5 03:35:42     -290.687290        0.4150
BFGS:    6 06:02:58     -290.698440        0.4121
BFGS:    7 08:05:40     -290.715833        0.3879
BFGS:    8 09:46:48     -290.726628        0.4069
BFGS:    9 11:35:06     -290.733596        0.2252
BFGS:   10 13:24:32     -290.739707        0.2891
BFGS:   11 15:15:25     -290.746201        0.3605
BFGS:   12 17:20:23     -290.753533        0.3074
BFGS:   13 19:31:42     -290.760318        0.1993
BFGS:   14 20:50:29     -290.764325        0.2085
BFGS:   15 22:17:28     -290.772684        0.3361
BFGS:   16 00:53:26     -290.783138        0.4511
BFGS:   17 03:35:10     -290.793000        0.4761
BFGS:   18 06:25:00     -290.802143        0.4246
BFGS:   19 07:59:50     -290.813104        0.2625
BFGS:   20 09:31:25     -290.819647        0.2594
BFGS:   21 11:14:03     -290.828012        0.3360
BFGS:   22 13:08:17     -290.837318        0.4259
BFGS:   23 14:41:11     -290.848141        0.4509
BFGS:   24 16:15:52     -290.864838        0.3926
BFGS:   25 18:33:22     -290.875628        0.4439
BFGS:   26 20:28:54     -290.890172        0.4583
BFGS:   27 22:58:02     -290.904829        0.4942
BFGS:   28 01:33:48     -290.923421        0.4501
BFGS:   29 03:09:07     -290.938482        0.4121
BFGS:   30 05:40:11     -290.956867        0.6120
BFGS:   31 07:21:58     -290.968795        0.4240
BFGS:   32 09:33:36     -290.984036        0.2997
BFGS:   33 12:05:44     -291.002835        0.2859
BFGS:   34 14:36:38     -291.014636        0.2769
BFGS:   35 17:22:43     -291.021935        0.2077
