      Step     Time          Energy         fmax
BFGS:    0 06:12:51     -290.821297        0.2502
BFGS:    1 08:10:33     -290.823417        0.2054
BFGS:    2 10:09:34     -290.826411        0.1976
BFGS:    3 12:26:35     -290.830141        0.2646
BFGS:    4 15:26:25     -290.837396        0.4011
BFGS:    5 18:21:57     -290.845219        0.3945
BFGS:    6 20:15:12     -290.853688        0.2755
BFGS:    7 22:37:16     -290.863576        0.2327
BFGS:    8 01:45:32     -290.871404        0.2513
BFGS:    9 04:56:13     -290.878879        0.2622
BFGS:   10 07:53:10     -290.886544        0.2703
BFGS:   11 10:03:08     -290.894086        0.2795
BFGS:   12 12:20:31     -290.901661        0.2850
BFGS:   13 14:52:56     -290.909536        0.2901
BFGS:   14 17:22:17     -290.918122        0.2767
BFGS:   15 19:38:30     -290.925833        0.3049
BFGS:   16 21:32:05     -290.936379        0.2700
BFGS:   17 00:02:57     -290.944739        0.2692
BFGS:   18 02:52:58     -290.951477        0.2709
BFGS:   19 05:26:15     -290.964689        0.3820
BFGS:   20 07:37:28     -290.978697        0.3140
BFGS:   21 11:08:04     -290.993112        0.3032
BFGS:   22 14:00:11     -291.004573        0.3623
BFGS:   23 17:06:33     -291.018278        0.3593
BFGS:   24 20:06:39     -291.027427        0.2606
BFGS:   25 23:24:17     -291.034950        0.2424
BFGS:   26 03:12:17     -291.039537        0.2628
BFGS:   27 05:27:00     -291.041929        0.1592
BFGS:   28 07:29:40     -291.043552        0.1020
BFGS:   29 08:51:12     -291.044608        0.1405
BFGS:   30 10:16:28     -291.046213        0.1936
BFGS:   31 11:38:18     -291.047761        0.1851
BFGS:   32 13:10:43     -291.048939        0.1088
BFGS:   33 14:48:25     -291.050173        0.1255
BFGS:   34 16:21:29     -291.051725        0.1892
BFGS:   35 18:25:54     -291.054783        0.2772
BFGS:   36 21:20:00     -291.058668        0.3009
BFGS:   37 23:49:09     -291.063749        0.2018
BFGS:   38 01:54:43     -291.066804        0.1377
BFGS:   39 03:56:48     -291.069130        0.1421
BFGS:   40 06:22:42     -291.071675        0.1536
BFGS:   41 07:56:53     -291.073938        0.1561
BFGS:   42 09:42:03     -291.077553        0.1671
BFGS:   43 11:47:55     -291.079718        0.1646
BFGS:   44 13:57:30     -291.081115        0.1431
BFGS:   45 15:19:25     -291.082681        0.0802
BFGS:   46 17:08:59     -291.083981        0.1084
BFGS:   47 18:29:38     -291.085161        0.1265
BFGS:   48 19:37:15     -291.087439        0.1105
BFGS:   49 21:04:30     -291.089450        0.1667
BFGS:   50 22:23:11     -291.091651        0.1492
BFGS:   51 23:46:10     -291.096147        0.1754
BFGS:   52 01:54:34     -291.099807        0.1846
BFGS:   53 03:22:49     -291.103618        0.1887
BFGS:   54 05:05:57     -291.106526        0.1762
BFGS:   55 06:38:08     -291.109392        0.1321
BFGS:   56 08:20:08     -291.110407        0.1367
BFGS:   57 09:56:28     -291.111499        0.1171
BFGS:   58 11:02:18     -291.112661        0.0683
BFGS:   59 11:13:04     -291.114816        0.0532
BFGS:   60 11:26:16     -291.117673        0.1568
BFGS:   61 11:37:56     -291.119695        0.1046
BFGS:   62 11:53:21     -291.120684        0.1835
BFGS:   63 12:07:42     -291.121660        0.2166
BFGS:   64 12:19:15     -291.124449        0.0798
BFGS:   65 12:29:09     -291.126050        0.0763
BFGS:   66 12:42:50     -291.129667        0.1116
BFGS:   67 12:56:56     -291.131916        0.0920
BFGS:   68 13:09:47     -291.133178        0.0749
BFGS:   69 13:23:09     -291.134357        0.0729
BFGS:   70 13:37:20     -291.135206        0.0772
BFGS:   71 13:47:41     -291.135875        0.0563
BFGS:   72 13:58:25     -291.136534        0.0530
BFGS:   73 14:07:02     -291.136996        0.0715
BFGS:   74 14:18:17     -291.137864        0.0785
BFGS:   75 14:29:59     -291.138846        0.0630
BFGS:   76 14:42:08     -291.139993        0.0607
BFGS:   77 14:55:38     -291.141009        0.0496
