      Step     Time          Energy         fmax
BFGS:    0 20:22:35     -256.946084        1.7137
BFGS:    1 22:30:01     -256.968819        1.7479
BFGS:    2 23:45:58     -257.001555        0.6343
BFGS:    3 01:13:04     -257.044705        0.8154
BFGS:    4 02:46:00     -257.091618        1.4770
BFGS:    5 04:26:42     -257.136737        1.6971
BFGS:    6 06:04:46     -257.179782        1.6935
BFGS:    7 07:47:20     -257.220187        1.5559
BFGS:    8 09:20:16     -257.256290        1.3473
BFGS:    9 11:02:23     -257.287311        1.0437
BFGS:   10 12:44:09     -257.311268        0.6790
BFGS:   11 14:22:00     -257.327277        0.2548
BFGS:   12 15:38:52     -257.334271        0.2648
BFGS:   13 16:58:44     -257.342445        0.3803
BFGS:   14 18:30:36     -257.355522        0.5559
BFGS:   15 20:09:35     -257.369692        0.5503
BFGS:   16 21:54:08     -257.382271        0.5061
BFGS:   17 23:34:30     -257.396272        0.4572
BFGS:   18 01:17:54     -257.408196        0.3968
BFGS:   19 03:52:28     -257.418142        0.3592
BFGS:   20 05:21:49     -257.424312        0.3275
BFGS:   21 06:33:10     -257.428883        0.1816
BFGS:   22 07:46:47     -257.433209        0.3181
BFGS:   23 09:04:03     -257.438852        0.3877
BFGS:   24 10:26:35     -257.446493        0.4341
BFGS:   25 11:58:12     -257.451834        0.3965
BFGS:   26 13:01:02     -257.454761        0.2180
BFGS:   27 14:17:55     -257.458219        0.2254
BFGS:   28 15:33:55     -257.461152        0.3600
BFGS:   29 16:57:32     -257.465946        0.4289
BFGS:   30 18:34:34     -257.472352        0.3514
BFGS:   31 20:11:14     -257.479129        0.2379
BFGS:   32 21:48:41     -257.483805        0.2547
BFGS:   33 23:31:31     -257.491222        0.2622
BFGS:   34 01:03:50     -257.497420        0.2712
BFGS:   35 02:34:31     -257.500836        0.1820
BFGS:   36 03:52:09     -257.503716        0.1871
BFGS:   37 05:10:59     -257.506312        0.2580
BFGS:   38 06:39:24     -257.510827        0.2920
BFGS:   39 08:11:08     -257.515947        0.2624
BFGS:   40 09:51:21     -257.520677        0.2609
BFGS:   41 11:34:27     -257.524708        0.3639
BFGS:   42 13:12:16     -257.528563        0.3463
BFGS:   43 14:49:51     -257.531612        0.3325
BFGS:   44 16:32:21     -257.535640        0.3002
BFGS:   45 18:10:51     -257.538641        0.2946
BFGS:   46 19:53:10     -257.542579        0.2867
BFGS:   47 21:34:26     -257.547044        0.2540
BFGS:   48 23:16:28     -257.552448        0.1648
BFGS:   49 00:53:32     -257.556143        0.1842
