      Step     Time          Energy         fmax
BFGS:    0 05:10:32     -256.754093        1.5412
BFGS:    1 05:26:13     -256.807091        1.4186
BFGS:    2 05:42:51     -256.875171        1.2120
BFGS:    3 05:59:30     -256.929941        1.0354
BFGS:    4 06:15:17     -256.977092        0.8838
BFGS:    5 06:32:17     -257.018072        0.7477
BFGS:    6 06:49:49     -257.053495        0.6417
BFGS:    7 07:06:37     -257.084275        0.5557
BFGS:    8 07:23:24     -257.110540        0.4606
BFGS:    9 07:39:44     -257.132689        0.3685
BFGS:   10 07:56:24     -257.151528        0.3706
BFGS:   11 08:13:08     -257.167333        0.3686
BFGS:   12 08:28:56     -257.180491        0.3531
BFGS:   13 08:47:02     -257.192032        0.3228
BFGS:   14 09:04:42     -257.202320        0.2775
BFGS:   15 09:21:50     -257.212146        0.2497
BFGS:   16 09:39:51     -257.222218        0.2549
BFGS:   17 09:57:29     -257.233905        0.2478
BFGS:   18 10:17:41     -257.248858        0.2896
BFGS:   19 10:37:55     -257.263626        0.2442
BFGS:   20 10:54:40     -257.274120        0.2774
BFGS:   21 11:10:25     -257.281338        0.2350
BFGS:   22 11:26:40     -257.285879        0.2423
BFGS:   23 11:42:52     -257.292026        0.2189
BFGS:   24 12:00:22     -257.301992        0.2007
BFGS:   25 12:17:00     -257.309307        0.1918
BFGS:   26 12:35:26     -257.315909        0.1567
BFGS:   27 12:54:17     -257.319010        0.1238
BFGS:   28 13:03:19     -257.320317        0.1066
BFGS:   29 13:20:52     -257.329163        0.1761
BFGS:   30 13:38:50     -257.332887        0.1955
BFGS:   31 13:58:36     -257.337512        0.2337
BFGS:   32 14:18:56     -257.340985        0.1942
BFGS:   33 14:33:26     -257.342626        0.1219
BFGS:   34 14:46:59     -257.344330        0.0937
BFGS:   35 14:57:24     -257.344827        0.0787
BFGS:   36 15:07:50     -257.345551        0.0738
BFGS:   37 15:19:09     -257.346716        0.1275
BFGS:   38 15:34:51     -257.348968        0.2774
BFGS:   39 15:49:42     -257.353021        0.3061
BFGS:   40 16:06:02     -257.356551        0.3382
BFGS:   41 16:21:24     -257.359716        0.2995
BFGS:   42 16:38:38     -257.362147        0.1651
BFGS:   43 16:53:05     -257.363750        0.1082
BFGS:   44 17:03:56     -257.364185        0.0697
BFGS:   45 17:13:54     -257.364947        0.0951
BFGS:   46 17:27:01     -257.366480        0.0978
BFGS:   47 17:40:37     -257.368026        0.1024
BFGS:   48 17:55:58     -257.370054        0.1208
BFGS:   49 18:13:14     -257.371430        0.2617
BFGS:   50 18:25:51     -257.373123        0.1871
BFGS:   51 18:38:57     -257.374557        0.0659
BFGS:   52 18:50:46     -257.375367        0.0782
BFGS:   53 19:00:20     -257.376143        0.1094
BFGS:   54 19:12:55     -257.378426        0.0704
BFGS:   55 19:25:34     -257.380406        0.0915
BFGS:   56 19:39:35     -257.382067        0.1468
BFGS:   57 19:52:40     -257.386737        0.0918
BFGS:   58 20:06:40     -257.387782        0.4562
BFGS:   59 20:25:27     -257.384606        1.0196
BFGS:   60 20:46:34     -257.391944        0.2572
BFGS:   61 20:58:46     -257.392650        0.1353
BFGS:   62 21:12:49     -257.394327        0.1220
BFGS:   63 21:27:20     -257.396923        0.2301
BFGS:   64 21:41:44     -257.400591        0.4267
BFGS:   65 21:55:50     -257.404231        0.4045
BFGS:   66 22:10:18     -257.408846        0.2563
BFGS:   67 22:23:46     -257.412792        0.2071
BFGS:   68 22:38:17     -257.416428        0.1486
BFGS:   69 22:53:37     -257.419915        0.2835
BFGS:   70 23:06:40     -257.421202        0.2123
BFGS:   71 23:20:45     -257.422874        0.1835
BFGS:   72 23:33:01     -257.423973        0.1307
BFGS:   73 23:47:06     -257.425536        0.1244
BFGS:   74 00:03:54     -257.427896        0.0852
BFGS:   75 00:19:11     -257.429406        0.0812
BFGS:   76 00:38:00     -257.432830        0.2106
BFGS:   77 00:54:35     -257.432731        0.2211
BFGS:   78 01:08:58     -257.435048        0.1863
BFGS:   79 01:24:35     -257.437559        0.1350
BFGS:   80 01:40:33     -257.437925        0.1505
BFGS:   81 01:55:36     -257.440605        0.1072
BFGS:   82 03:13:59     -257.441378        0.1586
BFGS:   83 03:26:15     -257.443032        0.1398
BFGS:   84 03:43:51     -257.445318        0.0674
BFGS:   85 03:57:00     -257.446054        0.0802
BFGS:   86 04:06:33     -257.446255        0.0298
