      Step     Time          Energy         fmax
BFGS:    0 15:57:13     -246.300480        1.2300
BFGS:    1 17:18:28     -246.352161        1.0786
BFGS:    2 18:56:54     -246.433416        0.8078
BFGS:    3 20:18:41     -246.491212        0.6053
BFGS:    4 21:47:42     -246.534397        0.5413
BFGS:    5 23:13:24     -246.568381        0.5962
BFGS:    6 00:44:27     -246.597264        0.6072
BFGS:    7 02:09:45     -246.623135        0.6043
BFGS:    8 03:34:44     -246.646959        0.5575
BFGS:    9 04:59:17     -246.668675        0.4919
BFGS:   10 06:30:34     -246.687787        0.4038
BFGS:   11 08:02:15     -246.703570        0.2846
BFGS:   12 09:30:49     -246.716422        0.2267
BFGS:   13 10:56:06     -246.724116        0.2306
BFGS:   14 12:23:46     -246.734162        0.2625
BFGS:   15 14:00:19     -246.745695        0.3302
BFGS:   16 15:43:26     -246.757973        0.3934
BFGS:   17 17:26:05     -246.771073        0.3234
BFGS:   18 19:13:35     -246.785374        0.3170
BFGS:   19 20:52:57     -246.795337        0.2981
BFGS:   20 22:15:51     -246.802046        0.2244
BFGS:   21 23:45:29     -246.806408        0.1867
BFGS:   22 00:50:28     -246.808983        0.1435
BFGS:   23 01:53:02     -246.816749        0.3658
BFGS:   24 02:17:24     -246.822036        0.4522
BFGS:   25 02:47:55     -246.833996        0.4665
BFGS:   26 03:20:42     -246.843668        0.3728
BFGS:   27 03:51:57     -246.852080        0.1792
BFGS:   28 04:20:04     -246.856596        0.2054
BFGS:   29 04:50:30     -246.862068        0.2712
BFGS:   30 05:20:18     -246.870719        0.3539
BFGS:   31 05:48:37     -246.881750        0.4486
BFGS:   32 06:17:36     -246.891074        0.4662
BFGS:   33 06:46:35     -246.902188        0.4381
BFGS:   34 07:13:13     -246.914174        0.4091
BFGS:   35 07:42:53     -246.923090        0.4015
BFGS:   36 08:11:53     -246.931728        0.3917
BFGS:   37 09:41:57     -246.941839        0.3396
BFGS:   38 11:10:30     -246.949932        0.3085
BFGS:   39 12:46:50     -246.957768        0.2793
BFGS:   40 14:16:09     -246.963891        0.2794
BFGS:   41 15:49:20     -246.972071        0.2336
BFGS:   42 17:20:03     -246.981550        0.2482
BFGS:   43 18:51:15     -246.989083        0.2677
BFGS:   44 20:21:27     -246.996998        0.2524
BFGS:   45 22:06:26     -247.004999        0.2587
BFGS:   46 23:36:10     -247.012986        0.2901
BFGS:   47 01:01:22     -247.022798        0.3509
BFGS:   48 02:28:18     -247.037126        0.4263
BFGS:   49 04:06:48     -247.053369        0.5532
BFGS:   50 05:52:53     -247.068290        0.5997
BFGS:   51 07:24:46     -247.080968        0.5626
BFGS:   52 09:02:26     -247.092624        0.4074
BFGS:   53 10:34:46     -247.101910        0.2086
BFGS:   54 12:02:10     -247.108008        0.1858
BFGS:   55 13:21:59     -247.111003        0.1393
BFGS:   56 14:31:52     -247.114127        0.1521
BFGS:   57 15:49:18     -247.116350        0.1423
BFGS:   58 17:04:15     -247.119243        0.1416
BFGS:   59 19:00:12     -247.127747        0.3318
BFGS:   60 20:32:35     -247.131458        0.3520
BFGS:   61 22:16:23     -247.138073        0.2440
BFGS:   62 23:38:51     -247.142351        0.1638
BFGS:   63 01:07:14     -247.145587        0.1118
BFGS:   64 03:06:10     -247.146886        0.1085
BFGS:   65 04:23:13     -247.150481        0.2291
BFGS:   66 05:52:29     -247.152908        0.2808
BFGS:   67 07:06:30     -247.157291        0.2550
BFGS:   68 08:52:05     -247.163998        0.2186
BFGS:   69 10:32:11     -247.169204        0.1651
BFGS:   70 12:18:31     -247.172992        0.1384
BFGS:   71 13:52:07     -247.176032        0.1523
BFGS:   72 15:27:42     -247.178563        0.1640
BFGS:   73 17:06:07     -247.181645        0.1871
BFGS:   74 18:41:27     -247.183521        0.2019
BFGS:   75 19:57:18     -247.185824        0.1828
BFGS:   76 21:28:36     -247.189132        0.1523
BFGS:   77 23:05:05     -247.191031        0.1370
BFGS:   78 00:34:26     -247.193380        0.1212
BFGS:   79 02:00:07     -247.195967        0.1624
BFGS:   80 03:29:49     -247.197722        0.1585
BFGS:   81 04:48:53     -247.199799        0.1464
BFGS:   82 05:53:42     -247.201957        0.1498
BFGS:   83 07:38:42     -247.209090        0.1519
BFGS:   84 08:54:03     -247.212333        0.1282
BFGS:   85 10:20:28     -247.215605        0.1207
BFGS:   86 11:42:13     -247.218468        0.1387
BFGS:   87 13:15:53     -247.220782        0.1441
BFGS:   88 14:35:23     -247.222974        0.1702
BFGS:   89 15:54:51     -247.225616        0.1651
BFGS:   90 17:12:31     -247.228619        0.1482
BFGS:   91 18:52:50     -247.231527        0.1455
BFGS:   92 20:10:45     -247.233727        0.1451
BFGS:   93 21:30:36     -247.236466        0.1464
BFGS:   94 22:54:03     -247.238560        0.1280
BFGS:   95 00:14:32     -247.241090        0.1194
