      Step     Time          Energy         fmax
BFGS:    0 16:40:03     -246.906072        1.0931
BFGS:    1 16:58:20     -246.926862        0.4152
BFGS:    2 17:16:29     -246.943183        0.4503
BFGS:    3 17:39:01     -246.973799        0.5795
BFGS:    4 18:02:24     -246.992779        0.5144
BFGS:    5 18:28:41     -247.018266        0.5487
BFGS:    6 18:54:20     -247.043633        0.5569
BFGS:    7 19:21:18     -247.067729        0.5938
BFGS:    8 19:45:36     -247.090861        0.5420
BFGS:    9 20:11:46     -247.110694        0.3676
BFGS:   10 20:35:31     -247.122707        0.3838
BFGS:   11 20:56:10     -247.131038        0.3483
BFGS:   12 21:19:53     -247.145492        0.4113
BFGS:   13 21:43:01     -247.154991        0.4148
BFGS:   14 22:08:40     -247.165075        0.3858
BFGS:   15 22:33:44     -247.176060        0.2777
BFGS:   16 22:59:23     -247.186461        0.2775
BFGS:   17 23:25:02     -247.193912        0.2226
BFGS:   18 23:48:17     -247.200690        0.2223
BFGS:   19 00:12:35     -247.206983        0.2324
BFGS:   20 00:35:14     -247.213010        0.2539
BFGS:   21 00:59:01     -247.219651        0.3333
BFGS:   22 01:23:52     -247.228239        0.3261
BFGS:   23 01:48:18     -247.235655        0.2527
BFGS:   24 02:10:44     -247.240690        0.1618
BFGS:   25 02:30:08     -247.244251        0.1875
BFGS:   26 02:54:58     -247.249971        0.1906
BFGS:   27 03:16:45     -247.255778        0.2280
BFGS:   28 03:37:50     -247.259531        0.2455
BFGS:   29 04:01:26     -247.265618        0.2555
BFGS:   30 04:22:01     -247.270618        0.2741
BFGS:   31 04:46:46     -247.277566        0.2949
BFGS:   32 05:13:00     -247.286032        0.2826
BFGS:   33 05:37:56     -247.292906        0.3070
BFGS:   34 06:06:42     -247.300258        0.3093
BFGS:   35 06:30:23     -247.304666        0.2290
BFGS:   36 06:50:57     -247.307879        0.1470
BFGS:   37 07:10:55     -247.310640        0.1522
BFGS:   38 07:30:58     -247.313296        0.1021
BFGS:   39 07:54:34     -247.315934        0.1046
BFGS:   40 08:13:22     -247.317658        0.1085
BFGS:   41 08:33:12     -247.318956        0.1470
BFGS:   42 08:56:17     -247.321331        0.1042
BFGS:   43 09:16:50     -247.323416        0.0907
BFGS:   44 09:39:25     -247.325980        0.1071
BFGS:   45 10:01:51     -247.328695        0.1113
BFGS:   46 10:26:48     -247.332573        0.0992
BFGS:   47 10:51:13     -247.335064        0.0808
BFGS:   48 11:17:28     -247.338488        0.0762
BFGS:   49 11:45:34     -247.341746        0.0858
BFGS:   50 12:11:48     -247.344230        0.1075
BFGS:   51 12:34:53     -247.345798        0.1005
BFGS:   52 12:59:45     -247.348771        0.1018
BFGS:   53 13:28:23     -247.353633        0.1263
BFGS:   54 13:52:43     -247.357083        0.1167
BFGS:   55 14:15:47     -247.360131        0.0719
BFGS:   56 14:39:27     -247.362369        0.0559
BFGS:   57 15:04:25     -247.363302        0.0571
BFGS:   58 15:27:32     -247.363819        0.0665
BFGS:   59 15:54:58     -247.364343        0.0764
BFGS:   60 16:12:00     -247.365405        0.0670
BFGS:   61 16:39:22     -247.367739        0.0599
BFGS:   62 17:02:28     -247.370048        0.0955
BFGS:   63 17:25:30     -247.371608        0.1423
BFGS:   64 17:46:43     -247.372864        0.1374
BFGS:   65 18:06:05     -247.374202        0.0973
BFGS:   66 18:29:44     -247.375710        0.0760
BFGS:   67 18:52:49     -247.376403        0.0490
