      Step     Time          Energy         fmax
BFGS:    0 22:18:12     -247.099402        1.1416
BFGS:    1 22:39:20     -247.116901        0.4301
BFGS:    2 22:55:29     -247.128146        0.4905
BFGS:    3 23:17:13     -247.154000        0.7786
BFGS:    4 23:40:14     -247.175463        0.7710
BFGS:    5 00:03:50     -247.193875        0.5970
BFGS:    6 00:28:07     -247.211014        0.4536
BFGS:    7 00:49:37     -247.222212        0.4761
BFGS:    8 01:12:52     -247.237449        0.4361
BFGS:    9 01:36:44     -247.256141        0.4992
BFGS:   10 02:00:29     -247.273126        0.4912
BFGS:   11 02:24:17     -247.291508        0.4077
BFGS:   12 02:46:51     -247.306085        0.3529
BFGS:   13 03:11:16     -247.319657        0.2963
BFGS:   14 03:34:56     -247.328168        0.1950
BFGS:   15 03:50:34     -247.333185        0.1668
BFGS:   16 04:10:01     -247.338796        0.2016
BFGS:   17 04:27:37     -247.342221        0.2040
BFGS:   18 04:45:12     -247.345688        0.1877
BFGS:   19 05:02:06     -247.348908        0.1991
BFGS:   20 05:24:07     -247.354089        0.2738
BFGS:   21 05:41:12     -247.357884        0.2209
BFGS:   22 06:02:01     -247.364535        0.2224
BFGS:   23 06:23:56     -247.367895        0.1479
BFGS:   24 06:39:33     -247.369856        0.1615
BFGS:   25 06:56:33     -247.372274        0.1417
BFGS:   26 07:12:48     -247.373866        0.0983
BFGS:   27 07:30:53     -247.375135        0.1177
BFGS:   28 07:44:03     -247.376186        0.1102
BFGS:   29 08:04:36     -247.379384        0.1344
BFGS:   30 08:23:19     -247.380910        0.1240
BFGS:   31 08:42:00     -247.382577        0.1121
BFGS:   32 09:00:47     -247.383920        0.1659
BFGS:   33 09:15:23     -247.385207        0.1906
BFGS:   34 09:34:47     -247.387751        0.1495
BFGS:   35 09:54:19     -247.389952        0.1080
BFGS:   36 10:16:57     -247.391425        0.0862
BFGS:   37 10:36:30     -247.392211        0.0993
BFGS:   38 10:58:32     -247.393580        0.1025
BFGS:   39 11:21:11     -247.393971        0.1347
BFGS:   40 11:36:51     -247.395001        0.1010
BFGS:   41 11:57:33     -247.396460        0.0761
BFGS:   42 12:13:53     -247.397243        0.0827
BFGS:   43 12:35:46     -247.397567        0.1021
BFGS:   44 12:53:52     -247.398511        0.0797
BFGS:   45 13:08:20     -247.399047        0.0582
BFGS:   46 13:22:48     -247.399588        0.0789
BFGS:   47 13:42:21     -247.400719        0.1062
BFGS:   48 14:03:02     -247.401835        0.0998
BFGS:   49 14:28:37     -247.402872        0.0918
BFGS:   50 14:48:02     -247.403429        0.0735
BFGS:   51 15:08:37     -247.403767        0.0800
BFGS:   52 15:23:41     -247.404091        0.0740
BFGS:   53 15:38:42     -247.404719        0.0564
BFGS:   54 15:53:42     -247.405338        0.0706
BFGS:   55 16:07:31     -247.405661        0.0725
BFGS:   56 16:30:35     -247.407155        0.0774
BFGS:   57 16:49:19     -247.407980        0.0725
BFGS:   58 17:14:52     -247.409209        0.0595
BFGS:   59 17:34:17     -247.409897        0.0468
